age;sex;housing;job;savings_account;checking_account;credit_amount;duration;purpose;risk
67;male;own;3;NaN;little;1169;6;television;good
22;female;own;3;little;moderate;5951;48;television;bad
49;male;own;2;little;NaN;2096;12;education;good
45;male;free;3;little;little;7882;42;furniture;good
53;male;free;3;little;little;4870;24;car;bad
35;male;free;2;NaN;NaN;9055;36;education;good
53;male;own;3;high;NaN;2835;24;furniture;good
35;male;rent;4;little;moderate;6948;36;car;good
61;male;own;2;rich;NaN;3059;12;television;good
28;male;own;4;little;moderate;5234;30;car;bad
25;female;rent;3;little;moderate;1295;12;car;bad
24;female;rent;3;little;little;4308;48;business;bad
22;female;own;3;little;moderate;1567;12;television;good
60;male;own;2;little;little;1199;24;car;bad
28;female;rent;3;little;little;1403;15;car;good
32;female;own;2;moderate;little;1282;24;television;bad
53;male;own;3;NaN;NaN;2424;24;television;good
25;male;own;3;NaN;little;8072;30;business;good
44;female;free;4;little;moderate;12579;24;car;bad
31;male;own;3;high;NaN;3430;24;television;good
48;male;own;3;little;NaN;2134;9;car;good
44;male;rent;3;high;little;2647;6;television;good
48;male;rent;2;little;little;2241;10;car;good
44;male;own;3;moderate;moderate;1804;12;car;good
26;male;own;3;NaN;NaN;2069;10;furniture;good
36;male;own;2;little;little;1374;6;furniture;good
39;male;own;2;little;NaN;426;6;television;good
42;female;rent;3;rich;high;409;12;television;good
34;male;own;3;little;moderate;2415;7;television;good
63;male;own;3;little;little;6836;60;business;bad
36;male;own;3;rich;moderate;1913;18;business;good
27;male;own;3;little;little;4020;24;furniture;good
30;male;own;3;moderate;moderate;5866;18;car;good
57;male;rent;2;NaN;NaN;1264;12;business;good
33;female;own;4;little;high;1474;12;furniture;good
25;male;own;2;little;moderate;4746;45;television;bad
31;male;free;3;little;NaN;6110;48;education;good
37;male;own;3;little;high;2100;18;television;bad
37;male;own;3;little;high;1225;10;domestics;good
24;male;own;3;little;moderate;458;9;television;good
30;male;own;4;high;NaN;2333;30;television;good
26;male;own;3;high;moderate;1158;12;television;good
44;male;own;2;little;moderate;6204;18;repairs;good
24;male;rent;3;moderate;little;6187;30;car;good
58;female;free;2;little;little;6143;48;car;bad
35;female;own;4;little;NaN;1393;11;car;good
39;male;own;3;high;NaN;2299;36;television;good
23;female;rent;1;high;little;1352;6;car;good
39;male;own;2;little;NaN;7228;11;car;good
28;female;own;3;moderate;NaN;2073;12;television;good
29;male;own;2;NaN;moderate;2333;24;furniture;good
30;male;own;4;little;moderate;5965;27;car;good
25;male;own;3;little;NaN;1262;12;television;good
31;male;own;3;NaN;NaN;3378;18;car;good
57;male;free;3;little;moderate;2225;36;car;bad
26;male;own;2;NaN;NaN;783;6;car;good
52;male;own;4;NaN;moderate;6468;12;television;bad
31;female;own;3;little;NaN;9566;36;television;good
23;female;own;4;little;high;1961;18;car;good
23;female;rent;2;little;little;6229;36;furniture;bad
27;male;own;3;little;moderate;1391;9;business;good
50;male;own;3;NaN;moderate;1537;15;television;good
61;male;free;4;little;moderate;1953;36;business;bad
25;male;own;3;little;moderate;14421;48;business;bad
26;female;own;3;little;NaN;3181;24;television;good
48;male;own;3;NaN;NaN;5190;27;repairs;good
29;female;own;3;little;NaN;2171;12;television;good
22;male;own;3;rich;moderate;1007;12;car;good
37;male;free;3;little;NaN;1819;36;education;bad
25;female;own;3;NaN;NaN;2394;36;television;good
30;female;own;3;little;NaN;8133;36;car;good
46;male;rent;2;NaN;NaN;730;7;television;good
51;male;free;4;little;little;1164;8;car;good
41;female;own;2;little;moderate;5954;42;business;good
40;male;own;4;NaN;little;1977;36;education;bad
66;male;free;4;little;little;1526;12;car;good
34;male;own;3;little;little;3965;42;television;bad
51;male;own;3;little;moderate;4771;11;television;good
39;male;own;2;NaN;NaN;9436;54;car;good
22;male;own;3;little;moderate;3832;30;furniture;good
44;female;own;3;NaN;NaN;5943;24;television;bad
47;male;own;3;high;NaN;1213;15;television;good
24;female;rent;2;moderate;NaN;1568;18;business;good
58;female;own;2;little;little;1755;24;car;good
52;male;own;2;little;little;2315;10;television;good
29;female;own;4;little;NaN;1412;12;business;good
27;female;own;3;little;moderate;1295;18;furniture;good
47;male;free;3;moderate;moderate;12612;36;education;bad
30;male;own;4;moderate;little;2249;18;car;good
28;male;own;3;little;little;1108;12;repairs;bad
56;male;own;3;little;NaN;618;12;television;good
54;male;own;3;little;little;1409;12;car;good
33;female;own;2;NaN;NaN;797;12;television;bad
20;male;rent;3;NaN;high;3617;24;furniture;good
54;male;own;3;rich;moderate;1318;12;car;good
58;male;rent;3;little;moderate;15945;54;business;bad
61;female;own;3;NaN;NaN;2012;12;education;good
34;male;own;3;moderate;moderate;2622;18;business;good
36;male;own;3;little;moderate;2337;36;television;good
36;male;rent;4;NaN;moderate;7057;20;car;good
41;male;rent;2;moderate;NaN;1469;24;car;good
24;male;rent;3;little;moderate;2323;36;television;good
24;female;own;3;little;NaN;932;6;television;good
35;male;rent;3;little;moderate;1919;9;furniture;good
26;male;rent;3;NaN;NaN;2445;12;car;good
39;male;own;4;little;moderate;11938;24;car;bad
39;male;own;4;little;NaN;6458;18;car;bad
32;male;own;3;little;moderate;6078;12;car;good
30;female;own;3;NaN;little;7721;24;furniture;good
35;male;own;3;high;moderate;1410;14;business;good
31;male;own;3;moderate;moderate;1449;6;business;good
23;female;rent;3;little;high;392;15;education;good
28;male;rent;2;little;moderate;6260;18;car;good
25;female;own;3;little;NaN;7855;36;car;bad
35;male;own;3;high;little;1680;12;television;good
47;male;own;3;NaN;NaN;3578;48;television;good
30;female;own;4;NaN;little;7174;42;television;bad
27;female;rent;3;NaN;little;2132;10;furniture;good
23;female;own;3;high;little;4281;33;furniture;bad
36;male;own;4;high;moderate;2366;12;car;good
25;female;own;3;little;little;1835;21;television;bad
41;female;rent;4;little;NaN;3868;24;car;good
24;male;rent;2;little;NaN;1768;12;furniture;good
63;male;free;3;little;high;781;10;car;good
27;female;rent;3;NaN;moderate;1924;18;furniture;bad
30;male;own;3;little;little;2121;12;car;good
40;male;own;2;little;little;701;12;television;good
30;male;own;3;little;moderate;639;12;repairs;bad
34;male;own;4;little;moderate;1860;12;car;good
29;female;own;3;little;little;3499;12;car;bad
24;female;own;3;NaN;moderate;8487;48;car;good
29;male;own;3;little;little;6887;36;education;bad
27;male;own;2;little;NaN;2708;15;furniture;good
47;male;free;3;little;NaN;1984;18;furniture;good
21;female;own;3;moderate;NaN;10144;60;television;good
38;female;own;3;NaN;NaN;1240;12;television;good
27;male;own;3;rich;NaN;8613;27;car;good
66;male;own;2;high;moderate;766;12;television;bad
35;male;own;3;NaN;moderate;2728;15;television;good
44;female;rent;2;little;high;1881;12;television;good
27;male;own;1;rich;high;709;6;car;good
30;female;own;4;little;moderate;4795;36;television;good
27;male;own;4;little;little;3416;27;television;good
22;male;own;3;little;little;2462;18;furniture;bad
23;female;own;3;little;NaN;2288;21;furniture;good
30;male;own;3;moderate;moderate;3566;48;business;good
39;female;own;3;little;little;860;6;car;good
51;female;own;3;moderate;NaN;682;12;car;good
28;male;own;3;little;little;5371;36;furniture;good
46;male;own;3;rich;NaN;1582;18;television;good
42;male;free;3;moderate;NaN;1346;6;television;good
38;male;own;3;little;NaN;1924;10;television;good
24;male;own;3;little;high;5848;36;television;good
29;female;rent;3;rich;moderate;7758;24;car;good
36;male;rent;4;moderate;moderate;6967;24;business;good
20;female;rent;3;little;little;1282;12;furniture;bad
48;male;own;3;moderate;little;1288;9;repairs;good
45;male;own;2;little;little;339;12;retraining;good
38;male;own;3;moderate;moderate;3512;24;car;good
34;male;own;2;NaN;NaN;1898;6;television;good
36;male;own;3;moderate;NaN;2872;24;television;good
30;female;own;3;little;NaN;1055;18;car;good
36;male;own;3;high;NaN;1262;15;domestics;good
70;male;free;4;little;moderate;7308;10;car;good
36;male;own;3;high;NaN;909;36;car;good
32;male;own;3;high;NaN;2978;6;furniture;good
33;female;own;3;little;little;1131;18;furniture;bad
20;female;own;3;rich;moderate;1577;11;furniture;good
25;female;rent;3;little;NaN;3972;24;furniture;good
31;male;own;3;little;moderate;1935;24;business;bad
33;male;rent;3;little;little;950;15;car;bad
26;female;own;3;little;NaN;763;12;furniture;good
34;female;own;4;little;moderate;2064;24;furniture;bad
33;male;own;3;little;moderate;1414;8;television;good
26;male;own;3;little;little;3414;21;education;bad
53;female;own;4;NaN;NaN;7485;30;car;bad
42;male;own;3;little;little;2577;12;furniture;good
52;male;own;3;high;little;338;6;television;good
31;male;rent;4;little;NaN;1963;12;television;good
65;male;own;3;little;little;571;21;car;good
28;male;own;3;little;NaN;9572;36;business;bad
30;male;own;4;little;moderate;4455;36;business;bad
40;male;own;2;NaN;little;1647;21;car;bad
50;male;own;3;rich;NaN;3777;24;furniture;good
36;male;own;3;little;moderate;884;18;car;bad
31;male;own;3;little;NaN;1360;15;television;good
74;female;free;4;little;moderate;5129;9;car;bad
68;male;free;1;little;moderate;1175;16;car;good
20;male;own;3;moderate;little;674;12;television;bad
33;female;own;3;little;moderate;3244;18;furniture;good
54;male;own;4;rich;NaN;4591;24;business;bad
34;male;free;2;moderate;moderate;3844;48;business;bad
36;male;own;3;little;moderate;3915;27;business;bad
29;male;rent;3;little;NaN;2108;6;television;good
21;male;rent;3;moderate;moderate;3031;45;television;bad
34;female;own;4;little;moderate;1501;9;education;bad
28;female;own;3;little;NaN;1382;6;television;good
27;female;rent;3;moderate;moderate;951;12;furniture;bad
36;male;free;3;NaN;moderate;2760;24;car;good
40;male;own;4;little;moderate;4297;18;furniture;bad
52;male;own;3;high;NaN;936;9;education;good
27;male;own;2;little;little;1168;12;car;good
26;male;own;3;little;NaN;5117;27;business;good
21;male;rent;3;little;little;902;12;retraining;bad
38;male;own;2;little;NaN;1495;12;car;good
38;male;free;4;little;little;10623;30;car;good
43;male;own;3;little;NaN;1935;12;furniture;good
26;male;own;3;little;moderate;1424;12;domestics;good
21;male;own;2;little;little;6568;24;business;good
55;male;own;3;rich;NaN;1413;12;car;good
33;male;own;3;NaN;NaN;3074;9;television;good
45;female;own;2;NaN;NaN;3835;36;television;good
50;male;own;3;little;little;5293;27;business;bad
66;male;own;4;little;high;1908;30;business;bad
51;male;own;3;NaN;NaN;3342;36;television;good
39;female;own;2;NaN;moderate;932;6;retraining;good
31;male;own;3;little;little;3104;18;business;good
23;male;own;3;little;high;3913;36;television;good
24;male;rent;2;little;little;3021;24;furniture;good
64;female;own;3;little;NaN;1364;10;car;good
26;male;own;2;little;moderate;625;12;television;good
23;female;rent;3;NaN;little;1200;12;education;good
30;male;own;3;little;NaN;707;12;television;good
32;male;own;3;NaN;NaN;2978;24;business;good
30;male;own;3;little;NaN;4657;15;car;good
27;male;own;3;little;NaN;2613;36;repairs;good
27;male;own;3;rich;moderate;10961;48;television;bad
53;male;free;4;little;little;7865;12;furniture;bad
22;male;own;3;little;NaN;1478;9;television;bad
22;male;free;3;little;little;3149;24;furniture;good
26;male;own;3;little;high;4210;36;television;bad
51;male;free;2;high;NaN;2507;9;car;good
35;male;own;3;moderate;NaN;2141;12;television;good
25;male;own;2;little;moderate;866;18;television;good
42;male;own;2;little;NaN;1544;4;television;good
30;male;own;4;little;little;1823;24;television;bad
23;male;own;1;NaN;moderate;14555;6;car;bad
61;male;rent;2;moderate;moderate;2767;21;business;bad
35;female;own;3;little;NaN;1291;12;television;good
39;male;own;3;little;little;2522;30;television;good
29;female;own;3;NaN;little;915;24;car;bad
51;male;own;3;little;NaN;1595;6;television;good
24;male;free;3;little;little;4605;48;car;bad
27;female;own;3;little;NaN;1185;12;business;good
