age,sex,housing,job,savings_account,checking_account,credit_amount,duration,purpose,risk
48,male,own,3,little,little,1024,24,television,bad
60,male,own,2,little,little,1199,24,car,bad
26,male,own,2,little,moderate,590,6,television,good
28,male,own,4,little,moderate,5234,30,car,bad
28,male,own,2,little,,2993,21,car,good
30,male,own,4,little,little,3959,36,furniture,good
24,female,own,3,little,,2788,15,furniture,good
49,male,own,3,little,little,1038,10,car,good
37,female,own,2,little,little,1274,12,car,bad
51,male,free,2,high,,2507,9,car,good
35,male,rent,4,little,moderate,6948,36,car,good
36,male,own,3,little,moderate,2337,36,television,good
26,female,own,3,little,,3181,24,television,good
26,male,rent,3,moderate,,3577,9,car,good
39,female,own,2,,moderate,932,6,retraining,good
28,male,own,3,little,,1249,24,car,good
40,male,own,2,little,moderate,1155,12,television,good
55,male,free,4,little,moderate,9283,42,car,good
26,female,rent,3,little,little,3114,18,furniture,bad
31,male,own,3,,,3378,18,car,good
20,female,rent,3,little,little,2039,18,furniture,bad
53,male,own,3,high,,2835,24,furniture,good
24,male,own,3,little,little,9271,36,car,bad
33,male,rent,2,little,moderate,2384,36,repairs,bad
61,male,rent,2,moderate,moderate,2767,21,business,bad
26,female,own,3,little,,2764,33,business,good
49,male,own,2,,high,1445,18,television,good
30,male,own,3,little,little,2121,12,car,good
28,male,own,3,little,moderate,3060,48,television,bad
30,male,own,3,little,moderate,7966,26,car,good
30,female,own,3,little,,8133,36,car,good
27,male,own,3,little,,8648,24,business,bad
24,male,rent,2,little,,1768,12,furniture,good
20,female,rent,3,little,little,1282,12,furniture,bad
25,female,rent,3,little,little,1433,15,furniture,good
26,male,own,3,little,,1076,12,business,good
23,female,rent,3,little,little,1216,18,car,bad
52,male,own,3,high,,936,9,education,good
27,male,own,3,little,moderate,1391,9,business,good
29,female,own,4,little,,1412,12,business,good
57,male,free,4,little,moderate,14318,36,car,bad
24,female,rent,2,moderate,,1568,18,business,good
24,female,own,3,,,874,15,domestics,good
60,female,free,4,moderate,moderate,14782,60,car,bad
37,male,own,3,little,high,2100,18,television,bad
